NAICS Codes,NAICS Industry Description,"Size standards 
in millions of dollars",Size standards in number of employees,Footnotes,
621330,Offices of Mental Health Practitioners (except Physicians),$8.0,,,
621340,"Offices of Physical, Occupational and Speech Therapists and Audiologists",$11.0,,,
621391,Offices of Podiatrists,$8.0,,,
621399,Offices of All Other Miscellaneous Health Practitioners,$9.0,,,
621410,Family Planning Centers,$16.5,,,
621420,Outpatient Mental Health and Substance Abuse Centers,$16.5,,,
621491,HMO Medical Centers,$39.0,,,
621492,Kidney Dialysis Centers,$41.5,,,
621493,Freestanding Ambulatory Surgical and Emergency Centers,$16.5,,,
621498,All Other Outpatient Care Centers,$22.5,,,
621511,Medical Laboratories,$36.5,,,
621512,Diagnostic Imaging Centers,$16.5,,,
621610,Home Health Care Services,$16.5,,,
621910,Ambulance Services,$20.0,,,
621991,Blood and Organ Banks,$35.0,,,
621999,All Other Miscellaneous Ambulatory Health Care Services,$18.0,,,
Subsector 622 – Hospitals,,,,,
622110,General Medical and Surgical Hospitals,$41.5,,,
622210,Psychiatric and Substance Abuse Hospitals,$41.5,,,
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,$41.5,,,
Subsector 623 – Nursing and Residential Care Facilities,,,,,
623110,Nursing Care Facilities (Skilled Nursing Facilities),$30.0,,,
623210,Residential Intellectual and Developmental Disability Facilities,$16.5,,,
623220,Residential Mental Health and Substance Abuse Facilities,$16.5,,,
623311,Continuing Care Retirement Communities,$30.0,,,
623312,Assisted Living Facilities for the Elderly,$20.5,,,
623990,Other Residential Care Facilities,$14.0,,,
Subsector 624 – Social Assistance,,,,,
624110,Child and Youth Services,$13.5,,,
624120,Services for the Elderly and Persons with Disabilities,$13.0,,,
624190,Other Individual and Family Services,$14.0,,,
624210,Community Food Services,$17.0,,,
624221,Temporary Shelters,$12.0,,,
624229,Other Community Housing Services,$16.5,,,
624230,Emergency and Other Relief Services,$36.5,,,
624310,Vocational Rehabilitation Services,$13.0,,,
624410,Child Care Services,$8.5,,,
,"Sector 71 – Arts, Entertainment and Recreation",,,,
"Subsector 711 – Performing Arts, Spectator Sports and Related Industries",,,,,
711110,Theater Companies and Dinner Theaters,$22.0,,,
711120,Dance Companies,$16.0,,,
711130,Musical Groups and Artists,$13.0,,,
711190,Other Performing Arts Companies,$30.0,,,
711211,Sports Teams and Clubs,$41.5,,,
711212,Race Tracks,$41.5,,,
711219,Other Spectator Sports,$14.5,,,
711310,"Promoters of Performing Arts, Sports and Similar Events with Facilities",$35.0,,,
711320,"Promoters of Performing Arts, Sports and Similar Events without Facilities",$19.5,,,
711410,"Agents and Managers for Artists, Athletes, Entertainers and Other Public Figures",$15.5,,,
711510,"Independent Artists, Writers, and Performers",$8.0,,,
"Subsector 712 – Museums, Historical Sites and Similar Institutions",,,,,
712110,Museums,$30.0,,,
712120,Historical Sites,$11.5,,,
712130,Zoos and Botanical Gardens,$30.0,,,
712190,Nature Parks and Other Similar Institutions  ,$17.0,,,
"Subsector 713 – Amusement, Gambling and Recreation Industries",,,,,
713110,Amusement and Theme Parks,$41.5,,,
713120,Amusement Arcades,$8.0,,,
713210,Casinos (except Casino Hotels),$30.0,,,
713290,Other Gambling Industries,$35.0,,,
713910,Golf Courses and Country Clubs,$16.5,,,
713920,Skiing Facilities,$31.0,,,
713930,Marinas,$9.5,,,
713940,Fitness and Recreational Sports Centers,$15.5,,,
713950,Bowling Centers,$11.0,,,
713990,All Other Amusement and Recreation Industries,$8.0,,,
,Sector 72 – Accommodation and Food Services,,,,
Subsector 721 – Accommodation,,,,,
721110,Hotels (except Casino Hotels) and Motels,$35.0,,,
721120,Casino Hotels,$35.0,,,
721191,Bed?and?Breakfast Inns,$8.0,,,
721199,All Other Traveler Accommodation,$8.0,,,
721211,RV (Recreational Vehicle) Parks and Campgrounds  ,$9.0,,,
721214,Recreational and Vacation Camps (except Campgrounds),$8.0,,,
721310,"Rooming and Boarding Houses, Dormitories, and Workers’ Camps",$12.5,,,
Subsector 722 – Food Services and Drinking Places,,,,,
722310,Food Service Contractors,$41.5,,,
722320,Caterers,$8.0,,,
722330,Mobile Food Services,$8.0,,,
722410,Drinking Places (Alcoholic Beverages),$8.0,,,
722511,Full-Service Restaurants,$10.0,,,
722513,Limited-Service Restaurants,$12.0,,,
722514,"Cafeterias, Grill Buffets, and Buffets",$30.0,,,
722515,Snack and Nonalcoholic Beverage Bars,$20.0,,,
,Sector 81 – Other Services (except Public Administration),,,,
Subsector 811 – Repair and Maintenance,,,,,
811111,General Automotive Repair,$8.0,,,
811114,Specialized Automotive Repair,$8.0,,,
811121,"Automotive Body, Paint and Interior Repair and Maintenance",$8.0,,,
811122,Automotive Glass Replacement Shops,$15.5,,,
811191,Automotive Oil Change and Lubrication Shops  ,$9.5,,,
811192,Car Washes,$8.0,,,
811198,All Other Automotive Repair and Maintenance,$9.0,,,
811210,Electronic and Precision Equipment Repair and Maintenance,$30.0,,,
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,$11.0,,,
811411,Home and Garden Equipment Repair and Maintenance,$8.0,,,
811412,Appliance Repair and Maintenance,$16.5,,,
811420,Reupholstery and Furniture Repair,$8.0,,,
811430,Footwear and Leather Goods Repair,$8.0,,,
811490,Other Personal and Household Goods Repair and Maintenance,$8.0,,,
Subsector 812 – Personal and Laundry Services,,,,,
812111,Barber Shops,$8.5,,,
812112,Beauty Salons,$8.5,,,
812113,Nail Salons,$8.0,,,
812191,Diet and Weight Reducing Centers,$24.0,,,
812199,Other Personal Care Services,$8.0,,,
812210,Funeral Homes and Funeral Services,$11.0,,,
812220,Cemeteries and Crematories,$22.0,,,
812310,Coin?Operated Laundries and Drycleaners,$11.5,,,
812320,Drycleaning and Laundry Services (except Coin?Operated),$7.0,,,
812331,Linen Supply,$35.0,,,
812332,Industrial Launderers,$41.5,,,
812910,Pet Care (except Veterinary) Services,$8.0,,,
812921,Photofinishing Laboratories (except One?Hour),$26.0,,,
812922,One?Hour Photofinishing,$16.5,,,
812930,Parking Lots and Garages,$41.5,,,
812990,All Other Personal Services,$13.0,,,
"Subsector 813 – Religious, Grantmaking, Civic, Professional and Similar Organizations",,,,,
813110,Religious Organizations,$11.5,,,
813211,Grantmaking Foundations,$35.0,,,
813212,Voluntary Health Organizations,$30.0,,,
813219,Other Grantmaking and Giving Services,$41.5,,,
813311,Human Rights Organizations,$30.0,,,
813312,"Environment, Conservation and Wildlife Organizations",$17.0,,,
813319,Other Social Advocacy Organizations,$16.0,,,
813410,Civic and Social Organizations,$8.5,,,
813910,Business Associations,$13.5,,,
813920,Professional Organizations,$20.5,,,
813930,Labor Unions and Similar Labor Organizations ,$14.5,,,
813940,Political Organizations,$12.5,,,
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) ",$12.0,,,
,Sector 92 – Public Administration,,,See footnote 17,
,"(Small business size standards are not established for this Sector.  Establishments in the Public Administration Sector are Federal, state, and local government agencies which administer and oversee government programs and activities that are not performed by private establishments.)",,,,
